epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7616,0.94134,0.67712,0.95682,0.76533,0.57143,0.52346,0.31977,1.74676,1.6904,1.1881,0.00016369,0.00016369,0.0674256
2,37.8705,0.85912,0.5908,0.9299,0.80711,0.64286,0.56096,0.435,1.09857,1.17417,0.97098,0.000322181,0.000322181,0.0342508
3,56.0118,0.88141,0.5865,0.9406,0.8065,0.64286,0.66323,0.49944,0.92567,1.01553,0.93524,0.000472421,0.000472421,0.00106766
4,73.9802,0.83932,0.57338,0.91916,0.66164,0.85714,0.75966,0.57806,0.89444,0.89792,0.92581,0.000462875,0.000462875,0.000462875
